Model,Transfer,Transfer relative,Cosine,Linf
densenet121,0.21000000000000008,0.22826086956521746,0.4967948794364929,4.717013359069824
densenet161,0.24,0.2608695652173913,0.48313164710998535,5.5208940505981445
densenet169,0.20000000000000007,0.21739130434782614,0.5081630945205688,5.783888339996338
googlenet,0.17000000000000004,0.18478260869565222,0.5133000016212463,5.2586493492126465
inception_v3,0.15000000000000002,0.1630434782608696,0.5138753652572632,5.691824913024902
mobilenet_v2,0.13,0.14130434782608695,0.4895772933959961,4.7418904304504395
resnet18,0.15000000000000002,0.1630434782608696,0.4960455298423767,5.9474711418151855
resnet34,0.21000000000000008,0.22826086956521746,0.4990352988243103,6.362980842590332
resnet50,0.20000000000000007,0.21739130434782614,0.4773249626159668,5.416106224060059
vgg11_bn,0.25,0.2717391304347826,0.5151537656784058,5.571619987487793
vgg13_bn,0.16000000000000003,0.1739130434782609,0.5229098200798035,5.86356782913208
vgg16_bn,0.17000000000000004,0.18478260869565222,0.5343354940414429,7.847692966461182
vgg19_bn,0.13,0.14130434782608695,0.5697849988937378,7.030518531799316
